1.0,Name,As self,As role
0.592,"Ackerman, Forrest J.",74,51
0.591696,"Van Patten, Vincent",171,118
0.59157,"Stiles, Ryan",407,281
0.591549,"Culkin, Macaulay",84,58
0.590909,"Savini, Tom",104,72
0.590551,"Fabio (I)",75,52
0.590476,"Method Man",124,86
0.59,"Jones, Tommy Lee",118,82
0.589623,"Esparbי, Miki",125,87
0.589474,"Hitori, Gekidan",56,39
0.589286,"Kline, Kevin (I)",132,92
0.589041,"Hopkins, Anthony (I)",258,180
0.588235,"van Koningsbrugge, Jeroen",200,140
0.588235,"Herrmann, Peter (IV)",70,49
0.587983,"Noriega, Eduardo (II)",137,96
0.586667,"Busey, Gary",264,186
0.586301,"Levine, Samm",214,151
0.585052,"Rudd, Paul (I)",227,161
0.584158,"Hammer, Armie",59,42
0.584158,"Buxton, Adam",59,42
0.583333,"Cirillo, Mark",91,65
0.582418,"Malkovich, John",159,114
0.58209,"Thimo, Leonard",117,84
0.581359,"Heston, Charlton",368,265
0.580882,"Boyd, Billy (I)",79,57
0.580247,"Woodruff Jr., Tom",47,34
0.579439,"Rush, Geoffrey",124,90
0.57931,"Atlas, Tony",84,61
0.579208,"Tajiri, Yoshihiro",117,85
0.579088,"Lake, Don",216,157
0.578811,"Whitaker, Forest",224,163
0.578616,"Quezada, Steven Michael",92,67
0.578512,"Tsamטre, Arnaud",70,51
0.578512,"Herbig, Michael",70,51
0.578431,"Hirsch, Emile",59,43
0.577778,"Gil, Fernando (II)",208,152
0.577778,"Fassbender, Michael",104,76
0.57764,"Schrצder, Atze",93,68
0.57732,"Isaac, Oscar",56,41
0.57725,"Helms, Ed",340,249
0.576923,"Tompkins, Paul F.",285,209
0.576923,"Lellouche, Philippe",45,33
0.575949,"Aragףn 'Miliki', Emilio",91,67
0.575,"Luna, Diego (I)",69,51
0.574627,"Fonda, Peter (I)",154,114
0.574468,"Salminen, Roope",54,40
0.574359,"Essex, David (I)",112,83
0.574257,"Affleck, Casey",58,43
0.573991,"Oldman, Gary (I)",128,95
0.573883,"Furst, Steve",167,124
0.573684,"Buress, Hannibal",109,81
0.57359,"Short, Martin (I)",417,310
0.571906,"Marshall, Garry",171,128
0.571429,"Schyffert, Henrik",56,42
0.571429,"Mowbray, Guy",56,42
0.571429,"Bourdon, Didier",52,39
0.571171,"Aykroyd, Dan",317,238
0.57,"Rylander, Mike",57,43
0.569948,"Johnson, R. Brandon",110,83
0.569892,"MacLeod, Joe",53,40
0.56962,"Thune, Nick",45,34
0.568027,"Padilla, Anthony (III)",167,127
0.566929,"Ferguson, Tim (I)",72,55
0.566845,"Madrigal, Al",106,81
0.566667,"Pastewka, Bastian",136,104
0.56621,"Henry, Lenny",248,190
0.565728,"Leary, Denis",241,185
0.564972,"Turkington, Gregg",100,77
0.564748,"Jones, Vinnie",157,121
0.564732,"Robbins, Glenn (I)",253,195
0.563991,"Cheadle, Don",260,201
0.563953,"Davies, Greg (IV)",97,75
0.563636,"Pearce, Adam (II)",62,48
0.563177,"Pazos, Sergio",312,242
0.563063,"Davis, Warwick (I)",125,97
0.562842,"Snipes, Wesley",103,80
0.562264,"Farelo, Eduard",149,116
0.561983,"Boadella, Albert",68,53
0.561497,"Seagal, Steven",105,82
0.561404,"Russell, Kurt (I)",192,150
0.561404,"Brown, Peter (XLIII)",64,50
0.560847,"Everett, Rupert",106,83
0.56,"Lutz, Kellan",84,66
0.559748,"Skelton, Stephen J.",89,70
0.559322,"Bell, Jamie (I)",66,52
0.558824,"Dwyer, Bil",57,45
0.558442,"Clay, Karlton T.",43,34
0.557895,"Moclair, Tony",53,42
0.557769,"Hackman, Gene",140,111
0.557143,"Ejiofor, Chiwetel",78,62
0.557047,"Suar, Adriבn",83,66
0.556818,"Yelverton, Gerald",49,39
0.55597,"Kaplan, Gabe",149,119
0.555434,"Baldwin, Alec",506,405
0.554688,"Ramis, Harold",71,57
0.554688,"Kristofferson, Kris (I)",213,171
0.554252,"Kutcher, Ashton",378,304
0.553763,"P, Master",103,83
0.553719,"Mallett, Timmy",67,54
0.553594,"Rolfe, James (IV)",439,354
0.553425,"Sitch, Rob",202,163
0.553333,"Kamiji, Ysuke",83,67
0.553191,"Kingsley, Ben",208,168
0.55303,"Garcia, Adam (I)",73,59
0.552941,"Brolin, Josh",188,152
0.552846,"Haider, Alfons",68,55
0.552632,"McCormack, Anthony (I)",42,34
0.552632,"Hietanen, Pedro",63,51
0.552381,"Anconina, Richard",58,47
0.552239,"Cassel, Vincent",74,60
0.55205,"Cleese, John",350,284
0.552032,"Danza, Tony",557,452
0.551724,"Sisley, Tomer",48,39
0.551724,"Felton, Tom",64,52
0.550173,"C.K., Louis",159,130
0.550122,"Pera, Joan",225,184
0.550107,"Howard, Terrence (I)",258,211
0.548611,"Worthington, Sam",79,65
0.548571,"Wayans, Marlon",192,158
0.548077,"Magdane, Roland",57,47
0.548077,"Jimיnez, Rodolfo",57,47
0.547739,"Reno, Jean (I)",109,90
0.547619,"Pajares, Andrיs",138,114
0.547368,"Vidal, Nacho (I)",52,43
0.547009,"Debbouze, Jamel",128,106
0.546729,"Vladimir, Timm",117,97
0.546667,"Bedford, Kurtis",41,34
0.546448,"Bozzo, Joan Lluםs",100,83
0.546012,"Mollא, Jordi",89,74
0.545872,"Katori, Shingo",119,99
0.545455,"Moustic, Jules-Edouard",42,35
0.545455,"Mescudi, Scott",48,40
0.545455,"Canet, Guillaume",72,60
0.544118,"Rosell, Jason",74,62
0.543967,"Walker, Jimmie (I)",266,223
0.543909,"Garden, Graeme",192,161
0.543689,"Martםnez, Dani (I)",56,47
0.543478,"Wahlbeck, Peter",50,42
0.543243,"Baldwin, Stephen (I)",201,169
0.543046,"Garcםa Bernal, Gael",82,69
0.542857,"Harter, Josh",57,48
0.542553,"Stipsits, Thomas (I)",51,43
0.542424,"Cain, Dean (I)",358,302
0.542234,"Pegg, Simon",199,168
0.542169,"Estevanez, Sebastiבn",45,38
0.541667,"Torreton, Philippe",65,55
0.541667,"Langui, El",39,33
0.541502,"Sheen, Michael (I)",137,116
0.541401,"Hemsworth, Liam",85,72
0.540741,"Sekine, Tsutomu (I)",73,62
0.540541,"Robertson, Wes (II)",40,34
0.539474,"Poland, David (V)",41,35
0.539362,"Hasselhoff, David",507,433
0.538941,"Mangum, Jonathan",173,148
0.538776,"Kodjoe, Boris",132,113
0.538462,"Williamson, Bruce (III)",49,42
0.538462,"Tyler the Creator",42,36
0.537736,"Vallטs, Sergi",57,49
0.537688,"Parkinson, Matt (I)",107,92
0.537604,"Taguchi, Tomorowo",193,166
0.5375,"Sagen, Tore",43,37
0.537415,"Andersson, Per (II)",79,68
0.537275,"Irons, Jeremy",209,180
0.53719,"Riising, Jacob",65,56
0.537143,"Stallone, Frank (I)",94,81
0.536657,"Bellamy, Bill (I)",183,158
0.535865,"Cole, Deon",127,110
0.535714,"Minhaj, Hasan",60,52
0.535714,"Galifianakis, Zach",180,156
0.53562,"Thornton, Billy Bob",203,176
0.535354,"Wood Jr., Roy",53,46
0.534884,"Ray, Jonah",69,60
0.534884,"Critch, Mark",92,80
0.534066,"Chase, Chevy",243,212
0.533784,"Jaenada, ׃scar",79,69
0.533133,"Branagh, Kenneth",177,155
0.532663,"Darmon, Gיrard",106,93
0.532609,"Walken, Christopher",147,129
0.532374,"Giamatti, Paul",148,130
0.532086,"Vegas, Johnny (I)",199,175
0.531646,"Sayle, Alexei",126,111
0.531034,"Lindon, Vincent",77,68
0.530303,"McCarron, Bob (I)",70,62
0.53,"Attal, Yvan",53,47
0.529745,"Dreyfuss, Richard",187,166
0.529412,"Marr, Peter (I)",45,40
0.529412,"Hjelt, Henrik",63,56
0.529412,"Collins, David (IV)",63,56
0.529412,"Chieng, Ronny",45,40
0.528736,"Duris, Romain",46,41
0.528455,"Cavill, Henry",65,58
0.528455,"Burr, Bill",65,58
0.527897,"Wilson, Lambert",123,110
0.527704,"Dolenz, Micky",200,179
0.527108,"Gimיnez, Manuel (I)",1050,942
0.526718,"Lewis, Richard (II)",207,186
0.526398,"Crews, Terry (I)",339,305
0.526316,"Urrialde, Santiago",170,153
0.525,"Sarriב, Manuel",63,57
0.525,"Jonasz, Michel",63,57
0.525,"Dupontel, Albert",42,38
0.524194,"Mourier, Davy",195,177
0.523364,"Wilkinson, Joe (I)",56,51
0.523316,"Womack, Cornell",101,92
0.523148,"Martin, Tony (III)",113,103
0.523148,"Lugosi, Bela",113,103
0.522581,"McDermott, Dean",162,148
0.521858,"Baldwin, Daniel (I)",191,175
0.521739,"Powers, Ed (I)",36,33
0.521368,"Duvall, Robert",183,168
0.520971,"Glover, Danny (I)",236,217
0.520833,"Knox, Rick",50,46
0.520325,"Burns, Edward (I)",64,59
0.520202,"Wilson, Luke (I)",103,95
0.520147,"Tosar, Luis",142,131
0.519894,"Monaghan, Dominic",196,181
0.519685,"Dasz, Andrew",66,61
0.519669,"Karloff, Boris (I)",251,232
0.518367,"Duncan, Michael Clarke",127,118
0.518135,"Roubinek, Rudi",100,93
0.518072,"Richard, Pierre (I)",86,80
0.517857,"Ringlstetter, Hannes",87,81
0.517787,"Cadaval, Cיsar (I)",131,122
0.517367,"Rogers, Wayne (I)",283,264
0.517241,"Littlefield, John (I)",45,42
0.516667,"Ballesta, Juan Josי",93,87
0.516373,"Skavlan, Fredrik",205,192
0.516129,"Vereen, Ben",192,180
0.516129,"Hopper, Dennis",304,285
0.515982,"Micallef, Shaun",226,212
0.514706,"Saikkonen, Sami",35,33
0.514451,"Miller, Romeo",89,84
0.514286,"Steppan, Andreas",36,34
0.514286,"Jones, Jabari (I)",54,51
0.513986,"Murray, Al (IV)",147,139
0.512658,"Talbot, Todd (I)",81,77
0.512586,"Cyrus, Billy Ray",224,213
0.5125,"Dog, Hacker T.",41,39
0.511927,"Bragman, Howard",279,266
0.511364,"Delיpine, Benoמt",45,43
0.511364,"Commandeur, Jיrפme",45,43
0.51087,"Lerman, Logan",47,45
0.51,"Schwartzman, Jason",102,98
0.509804,"Sy, Omar",104,100
0.509804,"Coppens, Mathias",52,50
0.509554,"Veiga, Javier (I)",80,77
0.509346,"McGowan, Alistair",109,105
0.508475,"Stevens, Brody",60,58
0.508475,"Rojas, Benjamםn",60,58
0.508475,"Moor, Dieter",60,58
0.508065,"Dietrich, Brger Lars",63,61
0.507868,"Shatner, William",710,688
0.507752,"Kinnunen, Santeri",131,127
0.507463,"Altman, Josh (II)",34,33
0.507389,"Lane, Nathan (I)",206,200
0.507246,"Terol, ׃scar",35,34
0.507042,"Son, Conrad",36,35
0.507042,"Fox, Rick (I)",108,105
0.507042,"Campan, Bernard",36,35
0.506849,"Bautista, Hermes",111,108
0.506589,"Moore, Roger (I)",346,337
0.505882,"Anderson, Angry",43,42
0.505814,"Nimoy, Leonard",348,340
0.505703,"Cadaval, Jorge",133,130
0.505618,"Klein, Sebastian (I)",45,44
0.505376,"Braunger, Matt",94,92
0.505126,"Mull, Martin",542,531
0.504505,"Vampiro (II)",56,55
0.504274,"Dasz, Steven",59,58
0.503856,"Kennedy, Jamie (I)",196,193
0.503067,"Deutsch, Lorאnt",82,81
0.502987,"ֱlvarez, Fיlix (II)",842,832
0.502901,"Rodrםguez, Santi (I)",260,257
0.502075,"Cumberbatch, Benedict",121,120
0.5,"Stuart, Jason (I)",138,138
0.5,"Smith, Will (III)",33,33
0.5,"Patel, Dev",57,57
0.5,"Owen, Clive (I)",112,112
0.5,"Maxwell, Jack (I)",51,51
0.5,"Madvig, Thomas",41,41
0.5,"Khan, Aamir (I)",46,46
0.5,"Foiles, Jerrid",53,53
0.5,"Clavier, Christian",90,90
0.5,"Berry, Richard (I)",119,119
0.497354,"Frost, Nick (I)",94,95
0.496599,"Vitorino D'Almeida, Antףnio",73,74
0.496445,"Hogan, Hulk",419,425
0.496124,"Hoult, Nicholas",64,65
0.495979,"Carvey, Dana",185,188
0.495455,"Smith, Matt (XI)",109,111
0.495146,"Sanz, Jorge (I)",153,156
0.494792,"Thomas, Rhys (I)",95,97
0.494737,"Strom, Kevin",47,48
0.494737,"Biggs, Jason (I)",141,144
0.494652,"Richter, Ilja",185,189
0.494624,"Alterio, Ernesto",92,94
0.494382,"Shitara, Osamu",44,45
0.494118,"Monner, ְlex",42,43
0.49375,"Phillippe, Ryan",79,81
0.493724,"Wuhl, Robert",118,121
0.493151,"Morבn, Paco",72,74
0.492958,"Berlיand, Franחois",210,216
0.492537,"Szente, Vajk",33,34
0.492537,"Nogueira, Bruno",66,68
0.492386,"Leguizamo, John",194,200
0.491803,"Kristensen, Preben",60,62
0.491315,"Farina, Dennis",198,205
0.491071,"Motz, Robby",55,57
0.490076,"Thicke, Alan",321,334
0.490066,"Iseman, Matt",148,154
0.49,"Reinhold, Diego",49,51
0.49,"Brooke-Taylor, Tim",245,255
0.489362,"Montiel, Bernard",46,48
0.489071,"Reynolds, Ryan (I)",179,187
0.488889,"B., Bela",44,46
0.488423,"Stevens, Shadoe",1329,1392
0.488095,"Delaney, Rob (II)",41,43
0.487179,"James, Theo",38,40
0.486957,"Kilmer, Val",112,118
0.4869,"Sacristבn, Josי (I)",223,235
0.486301,"Marques, Andrי (I)",71,75
0.485714,"Harris, Neil Patrick",425,450
0.484615,"Meadows, Andre",63,67
0.484277,"Blanc, Michel (I)",77,82
0.484211,"Minho",46,49
0.484127,"Lee, Cheon-hee",61,65
0.484076,"Gould, Dana",76,81
0.483951,"Edwards, Jeremy (I)",196,209
0.483923,"Bean, Orson",301,321
0.483146,"Monahan, Pat",43,46
0.483146,"Brygmann, Martin",86,92
0.483051,"McIntosh, Bradley",57,61
0.482759,"Matthesen, Anders",56,60
0.482759,"Lewis, Mitch (III)",70,75
0.482143,"Elejalde, Karra",54,58
0.481605,"Serkis, Andy",144,155
0.481481,"Sagen, Steinar",39,42
0.481481,"Giertsen, Thomas",39,42
0.481013,"SawChuck, Murray",38,41
0.480851,"Rאfols, Mingo",113,122
0.480687,"Ferrara, Adam",112,121
0.479339,"Bennett, Jonathan (I)",58,63
0.478495,"Homar, Lluםs",178,194
0.478261,"Larios, Bobby",33,36
0.478261,"Dadabo, Tim",44,48
0.478022,"Andrי the Giant",87,95
0.477876,"Silva, Thiago (III)",54,59
0.477876,"Fellowes, Julian",108,118
0.477707,"Poor, Bray",75,82
0.477612,"Sokol, Ondrej (I)",128,140
0.476744,"Reilly, John C. (I)",123,135
0.476744,"Contri, Pat",82,90
0.47651,"Brhl, Daniel",71,78
0.475962,"Chong, Tommy",99,109
0.475806,"Burton, LeVar",413,455
0.47561,"Harris, Ed (I)",117,129
0.475248,"Anderson, Anthony (I)",288,318
0.475,"Kaga, Takeshi",76,84
0.474522,"Quinto, Zachary",149,165
0.474419,"Van Zandt, Steven",102,113
0.474419,"Piscopo, Joe",102,113
0.473555,"Spade, David",385,428
0.473404,"Huster, Francis",89,99
0.473373,"Reiner, Rob",240,267
0.473193,"Franco, James",203,226
0.472973,"Mewes, Jason",105,117
0.472803,"Auteuil, Daniel",113,126
0.472622,"Shandling, Garry",164,183
0.471698,"Goldberg, Bill (I)",125,140
0.471471,"Riggle, Rob",157,176
0.471253,"Nadal, Miguel",459,515
0.471223,"Engvall, Bill",131,147
0.470769,"Jumalon, Tibo",153,172
0.470588,"Tanaka, Takushi",48,54
0.470588,"Cipriano, Joe (I)",80,90
0.47006,"Tejero, Fernando",157,177
0.469697,"Jones, Terry (I)",155,175
0.469613,"Lindroth, Kalle",85,96
0.469512,"Ristie, Quintis",77,87
0.469231,"Lanvin, Gיrard",61,69
0.468927,"Kay, Peter (I)",83,94
0.46888,"Marsden, James (I)",113,128
0.46888,"J, Ray",113,128
0.468354,"Tripoli, Tony (I)",37,42
0.468354,"Boublil, Max",37,42
0.468182,"Bleu, Corbin",103,117
0.468085,"Baron Cohen, Sacha",88,100
0.467866,"Edmondson, Adrian",182,207
0.467857,"Dyrdek, Rob",131,149
0.467626,"Dorsin, Henrik",65,74
0.466667,"Wecker, Konstantin",49,56
0.466667,"Testot, Fred",84,96
0.466667,"Springer, Christian (II)",49,56
0.466321,"Idle, Eric",180,206
0.466135,"Sharif, Omar",117,134
0.466102,"Kassovitz, Mathieu",55,63
0.465753,"Martinez, Olivier (I)",34,39
0.465517,"Jafari, Jon",81,93
0.465494,"Foley, Mick (I)",344,395
0.465455,"Sbaraglia, Leonardo",128,147
0.465347,"Gabrus, Jon",47,54
0.465116,"Hounsou, Djimon",60,69
0.464865,"״stergaard, Sרren",86,99
0.464789,"Macchio, Ralph (I)",66,76
0.464789,"Hassum, Leandro",33,38
0.464567,"Schneider, Rob (I)",177,204
0.464396,"Elba, Idris",150,173
0.464286,"Santos, Carlos (IX)",52,60
0.464286,"Rawlings, Donnell",65,75
0.464198,"Barker, Ronnie (I)",188,217
0.463178,"Johnson, Dwayne (I)",478,554
0.462857,"Villarreal, Fredy",81,94
0.462745,"Strong, Mark (II)",118,137
0.462264,"Mohr, Jay",196,228
0.46213,"Saget, Bob",421,490
0.461538,"Maassen, Theo",36,42
0.460993,"De Pauw, Bart",65,76
0.460784,"Higson, Charlie",94,110
0.460674,"Yarmolnik, Leonid",41,48
0.460526,"Edholm, Rafael",35,41
0.459893,"van Duin, Andrי",86,101
0.459854,"Cassidy, David (I)",126,148
0.459459,"Stea, Kevin Alexander",51,60
0.459259,"Sarsgaard, Peter",62,73
0.459119,"Palminteri, Chazz",73,86
0.459016,"Hiddleston, Tom",56,66
0.459016,"Djalili, Omid",112,132
0.458333,"Quintela, Josי Diogo",55,65
0.458333,"Key, Tim (II)",44,52
0.457831,"Hillis, Rib",38,45
0.457746,"Schleich, Helmut",65,77
0.457627,"Pereira, Ricardo de Araתjo",54,64
0.457447,"Ward, Shayne",86,102
0.457364,"Speros Jr., Jim",59,70
0.457064,"Brialy, Jean-Claude",165,196
0.456693,"Gold, Elon",58,69
0.456647,"PenaVega, Carlos",79,94
0.456522,"Elmaleh, Ariי",42,50
0.45641,"Steele, Lexington",89,106
0.455592,"Romano, Ray (I)",277,331
0.455446,"Slater, Christian (I)",184,220
0.455026,"Cornillac, Clovis",86,103
0.454918,"Reyes, Raul A.",111,133
0.454545,"Do, Anh",50,60
0.453623,"Conway, Tim (I)",313,377
0.453532,"Lףpez, Juliבn (I)",122,147
0.453333,"Williams, Brad (I)",34,41
0.453074,"Callow, Simon",140,169
0.453039,"Rockwell, Sam",82,99
0.45283,"Madeira, Eduardo (I)",96,116
0.452632,"Harington, Kit",43,52
0.452188,"Ribeiro, Alfonso (I)",279,338
0.452055,"Clarke, Noel",66,80
0.451807,"Wulff, Mikael",75,91
0.451565,"Takei, George",303,368
0.451515,"Fernבndez, Eduard (I)",149,181
0.45098,"Hartnett, Josh (I)",69,84
0.450867,"Einstein, Bob",78,95
0.449761,"Prיvost, Daniel (I)",94,115
0.449541,"Heavy D (I)",49,60
0.449438,"Lambert, Christopher (I)",80,98
0.449153,"Bechtold, Tommy",53,65
0.449079,"Jones, Brad (VII)",463,568
0.448944,"Cumming, Alan",255,313
0.44856,"Blackwood, Richard",109,134
0.448,"Cooper, Dominic (I)",56,69
0.447853,"Hall, Jon (VI)",73,90
0.447761,"Freeman, Martin (II)",120,148
0.447471,"Bohringer, Richard",115,142
0.446667,"Barratt, Julian",67,83
0.446429,"Mitchell, Finesse",75,93
0.446429,"Brendemhl, ְlex",75,93
0.446154,"Douglass, Jack",58,72
0.446154,"David, Larry (I)",116,144
0.445946,"Solinap, Arthur",66,82
0.445946,"Moseley, William (I)",33,41
0.445783,"Katajisto, Oskari",37,46
0.445596,"Lorenzo Crespo, Luis",86,107
0.445055,"Breuer, Jim",81,101
0.444915,"Waltz, Christoph",105,131
0.444444,"Sparks, Hal",188,235
0.444444,"Schubert, Olaf (II)",40,50
0.444444,"O'Toole, Peter (I)",96,120
0.444444,"Loquasto, Jonny",48,60
0.444444,"Cravy, Joshua",36,45
0.443548,"Ajaye, Franklyn",55,69
0.443396,"Carney, Zane",94,118
0.442857,"Anderson, Todd Robert",93,117
0.442149,"Schweiger, Til",107,135
0.44186,"Shechter, Ofer",38,48
0.44186,"Elbי, Pascal",57,72
0.441824,"Morgan, Tracy (II)",281,355
0.441748,"Davis, DeRay",91,115
0.441541,"Fox, Michael J. (I)",321,406
0.441176,"Falk, Peter (I)",165,209
0.440994,"Berling, Charles",71,90
0.44086,"Dewulf, Jeron Amin",41,52
0.440835,"James, Kevin (III)",190,241
0.440443,"Tucci, Stanley (I)",159,202
0.440111,"Callen, Bryan",158,201
0.44,"Mr. T",176,224
0.44,"McGregor, Luke",33,42
0.44,"Henican, Ellis",33,42
0.439655,"Spencer, Chris (I)",51,65
0.43956,"Bבrta, Vבclav",40,51
0.439349,"Swash, Joe",297,379
0.439024,"Lewman, Lance (I)",54,69
0.438849,"Belli, Peter",61,78
0.438247,"McCartney, Jesse",110,141
0.437799,"Cבmara, Javier (I)",183,235
0.4375,"Waters, Ken (I)",42,54
0.4375,"Abuksis, Nadav",35,45
0.437071,"Rooney, Mickey (I)",382,492
0.436709,"DeLaGhetto, Timothy",69,89
0.436364,"Webb, Robert (VI)",120,155
0.436364,"Ferrigno, Lou",144,186
0.436364,"Butler, Daniel N.",48,62
0.43617,"Baker, Nick (II)",41,53
0.435644,"Steen, Nikolaj",44,57
0.435644,"Lellouche, Gilles",44,57
0.435484,"James, Ron (I)",54,70
0.435315,"Tennant, David (I)",249,323
0.435115,"Vizard, Steve",57,74
0.434783,"Jay, Ricky",40,52
0.434555,"Hecox, Ian",166,216
0.434343,"Mulaney, John",43,56
0.434211,"Lutz, Alex",33,43
0.433824,"Liotta, Ray",118,154
0.432203,"Jackson, Cheyenne",51,67
0.431818,"Gass, Kyle",57,75
0.431818,"Dawson, Shane (II)",57,75
0.431734,"Ermey, R. Lee",117,154
0.431611,"Lee, Christopher (I)",284,374
0.431579,"Pertwee, Jon",205,270
0.43109,"DeVito, Danny",269,355
0.430894,"Wilson, Patrick (I)",53,70
0.430809,"Hemsworth, Chris",165,218
0.430605,"Paxton, Bill",121,160
0.430556,"Andrי, Eric (I)",62,82
0.43,"Dee, Gerry",43,57
0.42953,"Caliendo, Frank",128,170
0.429167,"Grenier, Adrian",103,137
0.428977,"Baker, Colin (I)",151,201
0.428964,"Garrett, Brad (I)",468,623
0.428571,"Stokholm, Nikolaj",42,56
0.428571,"Saariluoma, Jaakko",108,144
0.428571,"Hansen, Robert (I)",48,64
0.428135,"Smoove, J.B.",140,187
0.427873,"Depardieu, Gיrard",175,234
0.427861,"Mourדo, Cיsar",86,115
0.427586,"Schropp, Jochen",62,83
0.427289,"Bridges, Todd (I)",238,319
0.427273,"Fishburne, Laurence",188,252
0.427184,"Pinkston, Rob",44,59
0.427184,"Manganiello, Joe",132,177
0.426966,"Keller, Mark (VII)",38,51
0.426752,"Titus, Christopher (I)",67,90
0.42616,"Jarvis, Martin (I)",202,272
0.42615,"Feldman, Corey (I)",176,237
0.425743,"Little, Ralf",129,174
0.425743,"Klein, Chris (I)",43,58
0.425641,"Dittrich, Olli",166,224
0.425287,"Cattermole, Paul",37,50
0.425258,"O'Donnell, Chris (I)",165,223
0.425121,"Malmberg, Claes",88,119
0.424779,"Moeller, Ralf",48,65
0.424561,"Schell, Maximilian",121,164
0.424242,"Knight, Christopher (I)",154,209
0.424,"Benjamin, Owen",53,72
0.423453,"Poulpe, Monsieur",130,177
0.423077,"Perrin, Francis (I)",88,120
0.423077,"Lasica, Milan",33,45
0.42268,"Kelly, Robert (IX)",41,56
0.422311,"McCoy, Sylvester",106,145
0.422222,"Waas, Viggo",38,52
0.422222,"Botto, Juan Diego",114,156
0.42132,"Kelly, Kevin (LXVI)",83,114
0.420455,"Schumacher, Owen",37,51
0.42042,"Cosby, Bill",560,772
0.420345,"Reherman, Lee",219,302
0.420195,"Grier, David Alan",258,356
0.42003,"Alda, Alan",281,388
0.419718,"Duhamel, Josh",149,206
0.418803,"Miyasako, Hiroyuki",49,68
0.418803,"Gaffigan, Jim",147,204
0.418605,"Young, Danny (I)",54,75
0.418605,"Flea (I)",90,125
0.41853,"Dick, Andy (I)",262,364
0.41844,"Rickman, Alan (I)",59,82
0.418269,"Turturro, John",87,121
0.417647,"Evans, Rich (I)",71,99
0.417595,"Reynolds, Burt (I)",375,523
0.417582,"Wolff, Nat",38,53
0.417582,"Criss, Anthony 'Treach'",38,53
0.417391,"Colfer, Chris",96,134
0.417204,"Mota, Josי (I)",194,271
0.417085,"Wahlberg, Donnie",166,232
0.41704,"Baldwin, William (I)",93,130
0.416667,"Lemmeke, Ole",40,56
0.416667,"Bartha, Justin",45,63
0.416393,"Morrison, Matthew (I)",127,178
0.415929,"Devlin, Ryan (I)",47,66
0.415842,"Zoaretz, Guy",42,59
0.415493,"Quantick, David",59,83
0.415094,"Heidecker, Tim (I)",132,186
0.41502,"Hamm, Jon",210,296
0.414894,"Rossi, Luigi Francis Shorty",39,55
0.414894,"Hossein, Robert",78,110
0.414868,"Parsons, Jim (II)",173,244
0.414201,"Guttenberg, Steve",70,99
0.414097,"Szabף, Gyצzצ",94,133
0.413462,"Milonakis, Andy",43,61
0.413462,"Hvam, Frank",129,183
0.413408,"Oyelowo, David",74,105
0.413223,"Bono, Chaz",50,71
0.413146,"Crawford, Gavin",88,125
0.412921,"Davis, Clifton (I)",147,209
0.412776,"Woods, James (I)",168,239
0.412698,"Sheen, Charlie",286,407
0.4125,"Eller, Travis Lee (I)",33,47
0.412214,"Torry, Guy",54,77
0.41157,"Allen, Tim (I)",249,356
0.411111,"Collins, Keith (I)",37,53
0.410886,"Tambor, Jeffrey",385,552
0.410628,"Martםnez, Fele",85,122
0.410526,"Metcalfe, Jesse",78,112
0.410526,"Lovitz, Jon",195,280
0.410256,"Olsen, Niels (I)",64,92
0.410156,"Kindler, Andy",105,151
0.409938,"Besnehard, Dominique",66,95
0.409594,"Serrault, Michel",111,160
0.409471,"Vydra, Vבclav (III)",147,212
0.409266,"Gatiss, Mark",106,153
0.409091,"Levy, Nir (I)",45,65
0.408163,"Wong, Travis (II)",40,58
0.40724,"Prinze Jr., Freddie",90,131
0.406977,"Mustafa, Isaiah",35,51
0.406852,"Sinise, Gary",190,277
0.406801,"Rowe, Mike (I)",323,471
0.406452,"Samberg, Andy",189,276
0.406015,"Santamaria, Ysuke",54,79
0.405882,"Giraudeau, Bernard",69,101
0.405063,"Kitsch, Taylor",64,94
0.404762,"Dennehy, Brian",153,225
0.404762,"Alves, Pedro (IV)",34,50
0.404624,"Weber, Jacques",70,103
0.404255,"Kusanagi, Tsuyoshi",76,112
0.40411,"Franco, Jesתs (I)",59,87
0.40404,"Scharf, Yvo Renי",40,59
0.404011,"Nealon, Kevin",282,416
0.403941,"Howard, Ron (I)",410,605
0.403922,"Langeberg, Steen",103,152
0.403846,"Salem, Dan",42,62
0.403727,"Pallesen, Per",65,96
0.403175,"Loiri, Vesa-Matti",127,188
0.403042,"Ice-T",318,471
0.40275,"Jones, James Earl",205,304
0.402516,"Spencer, Bud",64,95
0.402174,"Cole Jr., Ralph",37,55
0.401786,"Elliott, Kieron",45,67
0.40118,"Grant, Richard E. (I)",136,203
0.400881,"Toledo, Guillermo",91,136
0.400568,"Arיvalo",141,211
0.4,"Sloan, Matt (III)",52,78
0.4,"Pierce, D.J. (II)",42,63
0.4,"O'Neal, Patrice",36,54
0.4,"Mac, Bernie",98,147
0.399497,"Caan, James (I)",159,239
0.399281,"Lhermitte, Thierry",111,167
0.39899,"Sutherland, Kiefer",237,357
0.398907,"Davis, Jeff Bryan",73,110
0.398693,"Guillיn Cuervo, Fernando",122,184
0.39863,"Mur, Sergio",291,439
0.398601,"Williams, Katt",57,86
0.398551,"Lie Kaas, Nikolaj",55,83
0.398305,"Antonsen, Atle",94,142
0.397849,"Glut, Donald F.",37,56
